Month,sales
1-Jan,"3,845.80"
2-Jan,"1,802.30"
3-Jan,174.2
4-Jan,"5,936.20"
5-Jan,"1,105.50"
6-Jan,"1,916.20"
7-Jan,"1,688.40"
8-Jan,"5,132.20"
9-Jan,"1,735.30"
10-Jan,"1,728.60"
11-Jan,"3,892.70"
12-Jan,"3,859.20"
13-Jan,"3,912.80"
14-Jan,227.8
15-Jan,"3,986.50"
16-Jan,"2,432.10"
17-Jan,"3,095.40"
18-Jan,"1,098.80"
19-Jan,"5,540.90"
20-Jan,"2,653.20"
21-Jan,857.6
22-Jan,"1,909.50"
23-Jan,"1,212.70"
24-Jan,"3,845.80"
25-Jan,"3,959.70"
26-Jan,"5,668.20"
27-Jan,"2,378.50"
28-Jan,214.4
29-Jan,"2,244.50"
30-Jan,"2,552.70"
31-Jan,"4,006.60"
1-Feb,"3,845.80"
2-Feb,"1,192.60"
3-Feb,"2,278.00"
4-Feb,991.6
5-Feb,201
6-Feb,"1,922.90"
7-Feb,"1,038.50"
8-Feb,"3,477.30"
9-Feb,254.6
10-Feb,"1,031.80"
11-Feb,971.5
12-Feb,"3,323.20"
13-Feb,"3,879.30"
14-Feb,"1,192.60"
15-Feb,"3,953.00"
16-Feb,"2,726.90"
17-Feb,"1,058.60"
18-Feb,227.8
19-Feb,951.4
20-Feb,"2,278.00"
21-Feb,"3,953.00"
22-Feb,"1,005.00"
23-Feb,917.9
24-Feb,"3,390.20"
25-Feb,"2,391.90"
26-Feb,"1,072.00"
27-Feb,"3,926.20"
28-Feb,"1,078.70"
1-Mar,"1,165.80"
2-Mar,"3,303.10"
3-Mar,"1,058.60"
4-Mar,"3,993.20"
5-Mar,"1,132.30"
6-Mar,830.8
7-Mar,"1,098.80"
8-Mar,"3,819.00"
9-Mar,"3,953.00"
10-Mar,"2,592.90"
11-Mar,187.6
12-Mar,"2,572.80"
13-Mar,"3,504.10"
14-Mar,268
15-Mar,"5,654.80"
16-Mar,"1,996.60"
17-Mar,"1,286.40"
18-Mar,187.6
19-Mar,931.3
20-Mar,"1,132.30"
21-Mar,"3,859.20"
22-Mar,"1,768.80"
23-Mar,"3,966.40"
24-Mar,"1,018.40"
25-Mar,"1,768.80"
26-Mar,"3,504.10"
27-Mar,"6,371.70"
28-Mar,"1,078.70"
29-Mar,"1,045.20"
30-Mar,"2,231.10"
31-Mar,"1,996.60"
1-Apr,"1,996.60"
2-Apr,"1,005.00"
3-Apr,971.5
4-Apr,"2,901.10"
5-Apr,"1,018.40"
6-Apr,"3,162.40"
7-Apr,167.5
8-Apr,227.8
9-Apr,"1,045.20"
10-Apr,"1,889.40"
11-Apr,268
12-Apr,268
13-Apr,"3,919.50"
14-Apr,"1,768.80"
15-Apr,"1,795.60"
16-Apr,"1,849.20"
17-Apr,"5,118.80"
18-Apr,221.1
19-Apr,"3,852.50"
20-Apr,"2,472.30"
21-Apr,"1,313.20"
22-Apr,194.3
23-Apr,"1,011.70"
24-Apr,"1,132.30"
25-Apr,"3,993.20"
26-Apr,"3,819.00"
27-Apr,"5,594.50"
28-Apr,944.7
29-Apr,"1,172.50"
30-Apr,743.7
1-May,"3,979.80"
2-May,"3,262.90"
3-May,"5,118.80"
4-May,"1,742.00"
5-May,"3,685.00"
6-May,201
7-May,"2,499.10"
8-May,"3,825.70"
9-May,"3,075.30"
10-May,"3,959.70"
11-May,"5,038.40"
12-May,"1,742.00"
13-May,174.2
14-May,783.9
15-May,"1,152.40"
16-May,"2,211.00"
17-May,"1,038.50"
18-May,"3,879.30"
19-May,"2,345.00"
20-May,"1,835.80"
21-May,"1,092.10"
22-May,"6,458.80"
23-May,"1,299.80"
24-May,"1,078.70"
25-May,"6,009.90"
26-May,"1,058.60"
27-May,"1,105.50"
28-May,"1,078.70"
29-May,"2,278.00"
30-May,"2,338.30"
31-May,"1,728.60"
1-Jun,"1,058.60"
2-Jun,241.2
3-Jun,"1,038.50"
4-Jun,"1,943.00"
5-Jun,"1,072.00"
6-Jun,"1,822.40"
7-Jun,"1,809.00"
8-Jun,"1,078.70"
9-Jun,"3,926.20"
10-Jun,"1,125.60"
11-Jun,"1,976.50"
12-Jun,"3,323.20"
13-Jun,"2,385.20"
14-Jun,"5,601.20"
15-Jun,"1,266.30"
16-Jun,"5,159.00"
17-Jun,"1,333.30"
18-Jun,857.6
19-Jun,"4,013.30"
20-Jun,"1,232.80"
21-Jun,"1,829.10"
22-Jun,864.3
23-Jun,"1,159.10"
24-Jun,"3,611.30"
25-Jun,"3,999.90"
26-Jun,"1,051.90"
27-Jun,"1,092.10"
28-Jun,247.9
29-Jun,"1,842.50"
30-Jun,"3,859.20"
1-Jul,234.5
2-Jul,"1,031.80"
3-Jul,187.6
4-Jul,"1,085.40"
5-Jul,757.1
6-Jul,871
7-Jul,"2,572.80"
8-Jul,"3,477.30"
9-Jul,"1,835.80"
10-Jul,214.4
11-Jul,"3,664.90"
12-Jul,"1,105.50"
13-Jul,"1,105.50"
14-Jul,"2,666.60"
15-Jul,"3,953.00"
16-Jul,"1,849.20"
17-Jul,"1,145.70"
18-Jul,"5,741.90"
19-Jul,"1,098.80"
20-Jul,"1,031.80"
21-Jul,"1,273.00"
22-Jul,"2,284.70"
23-Jul,917.9
24-Jul,"1,132.30"
25-Jul,"1,018.40"
26-Jul,"5,165.70"
27-Jul,"1,246.20"
28-Jul,"3,095.40"
29-Jul,"3,973.10"
30-Jul,"5,232.70"
31-Jul,"2,666.60"
1-Aug,"1,098.80"
2-Aug,"2,519.20"
3-Aug,"1,715.20"
4-Aug,"3,879.30"
5-Aug,"1,145.70"
6-Aug,"1,105.50"
7-Aug,"3,879.30"
8-Aug,984.9
9-Aug,"3,912.80"
10-Aug,"2,613.00"
11-Aug,"3,899.40"
12-Aug,"1,045.20"
13-Aug,"1,259.60"
14-Aug,"3,852.50"
15-Aug,"3,242.80"
16-Aug,"3,899.40"
17-Aug,"1,018.40"
18-Aug,"5,802.20"
19-Aug,"6,003.20"
20-Aug,"2,633.10"
21-Aug,268
22-Aug,"1,943.00"
23-Aug,"5,393.50"
24-Aug,"1,132.30"
25-Aug,"1,025.10"
26-Aug,"2,291.40"
27-Aug,777.2
28-Aug,"1,058.60"
29-Aug,180.9
30-Aug,214.4
31-Aug,"1,078.70"
1-Sep,"2,318.20"
2-Sep,"1,132.30"
3-Sep,891.1
4-Sep,757.1
5-Sep,"1,896.10"
6-Sep,978.2
7-Sep,241.2
8-Sep,167.5
9-Sep,991.6
10-Sep,"5,212.60"
11-Sep,"3,490.70"
12-Sep,"5,406.90"
13-Sep,"1,125.60"
14-Sep,"2,418.70"
15-Sep,964.8
16-Sep,"3,906.10"
17-Sep,"2,894.40"
18-Sep,897.8
19-Sep,"1,078.70"
20-Sep,911.2
21-Sep,"2,666.60"
22-Sep,"2,304.80"
23-Sep,"1,721.90"
24-Sep,214.4
25-Sep,"1,038.50"
26-Sep,"1,078.70"
27-Sep,"6,237.70"
28-Sep,"4,020.00"
29-Sep,"1,943.00"
30-Sep,"1,011.70"
1-Oct,"2,539.30"
2-Oct,"1,038.50"
3-Oct,"1,206.00"
4-Oct,"1,226.10"
5-Oct,"1,125.60"
6-Oct,"1,118.90"
7-Oct,"3,845.80"
8-Oct,"1,929.60"
9-Oct,"3,859.20"
