Month,sales
1-Jan,3845.80
2-Jan,1802.30
3-Jan,174.20
4-Jan,5936.20
5-Jan,1105.50
6-Jan,1916.20
7-Jan,1688.40
8-Jan,5132.20
9-Jan,1735.30
10-Jan,1728.60
11-Jan,3892.70
12-Jan,3859.20
13-Jan,3912.80
14-Jan,227.80
15-Jan,3986.50
16-Jan,2432.10
17-Jan,3095.40
18-Jan,1098.80
19-Jan,5540.90
20-Jan,2653.20
21-Jan,857.60
22-Jan,1909.50
23-Jan,1212.70
24-Jan,3845.80
25-Jan,3959.70
26-Jan,5668.20
27-Jan,2378.50
28-Jan,214.40
29-Jan,2244.50
30-Jan,2552.70
31-Jan,4006.60
1-Feb,3845.80
2-Feb,1192.60
3-Feb,2278.00
4-Feb,991.60
5-Feb,201.00
6-Feb,1922.90
7-Feb,1038.50
8-Feb,3477.30
9-Feb,254.60
10-Feb,1031.80
11-Feb,971.50
12-Feb,3323.20
13-Feb,3879.30
14-Feb,1192.60
15-Feb,3953.00
16-Feb,2726.90
17-Feb,1058.60
18-Feb,227.80
19-Feb,951.40
20-Feb,2278.00
21-Feb,3953.00
22-Feb,1005.00
23-Feb,917.90
24-Feb,3390.20
25-Feb,2391.90
26-Feb,1072.00
27-Feb,3926.20
28-Feb,1078.70
1-Mar,1165.80
2-Mar,3303.10
3-Mar,1058.60
4-Mar,3993.20
5-Mar,1132.30
6-Mar,830.80
7-Mar,1098.80
8-Mar,3819.00
9-Mar,3953.00
10-Mar,2592.90
11-Mar,187.60
12-Mar,2572.80
13-Mar,3504.10
14-Mar,268.00
15-Mar,5654.80
16-Mar,1996.60
17-Mar,1286.40
18-Mar,187.60
19-Mar,931.30
20-Mar,1132.30
21-Mar,3859.20
22-Mar,1768.80
23-Mar,3966.40
24-Mar,1018.40
25-Mar,1768.80
26-Mar,3504.10
27-Mar,6371.70
28-Mar,1078.70
29-Mar,1045.20
30-Mar,2231.10
31-Mar,1996.60
1-Apr,1996.60
2-Apr,1005.00
3-Apr,971.50
4-Apr,2901.10
5-Apr,1018.40
6-Apr,3162.40
7-Apr,167.50
8-Apr,227.80
9-Apr,1045.20
10-Apr,1889.40
11-Apr,268.00
12-Apr,268.00
13-Apr,3919.50
14-Apr,1768.80
15-Apr,1795.60
16-Apr,1849.20
17-Apr,5118.80
18-Apr,221.10
19-Apr,3852.50
20-Apr,2472.30
21-Apr,1313.20
22-Apr,194.30
23-Apr,1011.70
24-Apr,1132.30
25-Apr,3993.20
26-Apr,3819.00
27-Apr,5594.50
28-Apr,944.70
29-Apr,1172.50
30-Apr,743.70
1-May,3979.80
2-May,3262.90
3-May,5118.80
4-May,1742.00
5-May,3685.00
6-May,201.00
7-May,2499.10
8-May,3825.70
9-May,3075.30
10-May,3959.70
11-May,5038.40
12-May,1742.00
13-May,174.20
14-May,783.90
15-May,1152.40
16-May,2211.00
17-May,1038.50
18-May,3879.30
19-May,2345.00
20-May,1835.80
21-May,1092.10
22-May,6458.80
23-May,1299.80
24-May,1078.70
25-May,6009.90
26-May,1058.60
27-May,1105.50
28-May,1078.70
29-May,2278.00
30-May,2338.30
31-May,1728.60
1-Jun,1058.60
2-Jun,241.20
3-Jun,1038.50
4-Jun,1943.00
5-Jun,1072.00
6-Jun,1822.40
7-Jun,1809.00
8-Jun,1078.70
9-Jun,3926.20
10-Jun,1125.60
11-Jun,1976.50
12-Jun,3323.20
13-Jun,2385.20
14-Jun,5601.20
15-Jun,1266.30
16-Jun,5159.00
17-Jun,1333.30
18-Jun,857.60
19-Jun,4013.30
20-Jun,1232.80
21-Jun,1829.10
22-Jun,864.30
23-Jun,1159.10
24-Jun,3611.30
25-Jun,3999.90
26-Jun,1051.90
27-Jun,1092.10
28-Jun,247.90
29-Jun,1842.50
30-Jun,3859.20
1-Jul,234.50
2-Jul,1031.80
3-Jul,187.60
4-Jul,1085.40
5-Jul,757.10
6-Jul,871.00
7-Jul,2572.80
8-Jul,3477.30
9-Jul,1835.80
10-Jul,214.40
11-Jul,3664.90
12-Jul,1105.50
13-Jul,1105.50
14-Jul,2666.60
15-Jul,3953.00
16-Jul,1849.20
17-Jul,1145.70
18-Jul,5741.90
19-Jul,1098.80
20-Jul,1031.80
21-Jul,1273.00
22-Jul,2284.70
23-Jul,917.90
24-Jul,1132.30
25-Jul,1018.40
26-Jul,5165.70
27-Jul,1246.20
28-Jul,3095.40
29-Jul,3973.10
30-Jul,5232.70
31-Jul,2666.60
1-Aug,1098.80
2-Aug,2519.20
3-Aug,1715.20
4-Aug,3879.30
5-Aug,1145.70
6-Aug,1105.50
7-Aug,3879.30
8-Aug,984.90
9-Aug,3912.80
10-Aug,2613.00
11-Aug,3899.40
12-Aug,1045.20
13-Aug,1259.60
14-Aug,3852.50
15-Aug,3242.80
16-Aug,3899.40
17-Aug,1018.40
18-Aug,5802.20
19-Aug,6003.20
20-Aug,2633.10
21-Aug,268.00
22-Aug,1943.00
23-Aug,5393.50
24-Aug,1132.30
25-Aug,1025.10
26-Aug,2291.40
27-Aug,777.20
28-Aug,1058.60
29-Aug,180.90
30-Aug,214.40
31-Aug,1078.70
1-Sep,2318.20
2-Sep,1132.30
3-Sep,891.10
4-Sep,757.10
5-Sep,1896.10
6-Sep,978.20
7-Sep,241.20
8-Sep,167.50
9-Sep,991.60
10-Sep,5212.60
11-Sep,3490.70
12-Sep,5406.90
13-Sep,1125.60
14-Sep,2418.70
15-Sep,964.80
16-Sep,3906.10
17-Sep,2894.40
18-Sep,897.80
19-Sep,1078.70
20-Sep,911.20
21-Sep,2666.60
22-Sep,2304.80
23-Sep,1721.90
24-Sep,214.40
25-Sep,1038.50
26-Sep,1078.70
27-Sep,6237.70
28-Sep,4020.00
29-Sep,1943.00
30-Sep,1011.70
1-Oct,2539.30
2-Oct,1038.50
3-Oct,1206.00
4-Oct,1226.10
5-Oct,1125.60
6-Oct,1118.90
7-Oct,3845.80
8-Oct,1929.60
9-Oct,3859.20
10-Oct,1112.20
11-Oct,3142.30
12-Oct,2331.60
13-Oct,6003.20
14-Oct,2452.20
15-Oct,857.60
16-Oct,3966.40
17-Oct,864.30
18-Oct,1909.50
19-Oct,730.30
20-Oct,227.80
21-Oct,2425.40
22-Oct,2432.10
23-Oct,877.70
24-Oct,1051.90
25-Oct,1701.80
26-Oct,1782.20
27-Oct,5246.10
28-Oct,201.00
29-Oct,683.40
30-Oct,1038.50
31-Oct,2626.40
1-Nov,2579.50
2-Nov,2391.90
3-Nov,1996.60
4-Nov,2860.90
5-Nov,167.50
6-Nov,3463.90
7-Nov,1018.40
8-Nov,1078.70
9-Nov,911.20
10-Nov,194.30
11-Nov,2921.20
12-Nov,3959.70
13-Nov,1132.30
14-Nov,1011.70
15-Nov,984.90
16-Nov,3772.10
17-Nov,1132.30
18-Nov,931.30
19-Nov,871.00
20-Nov,2432.10
21-Nov,723.60
22-Nov,1139.00
23-Nov,3229.40
24-Nov,1936.30
25-Nov,757.10
26-Nov,897.80
27-Nov,1038.50
28-Nov,1112.20
29-Nov,837.50
30-Nov,3470.60
1-Dec,3959.70
2-Dec,3832.40
3-Dec,1018.40
4-Dec,2894.40
5-Dec,180.90
6-Dec,3906.10
7-Dec,6123.80
8-Dec,1989.90
9-Dec,2318.20
10-Dec,676.70
11-Dec,1078.70
12-Dec,3865.90
